Which of the following describe your relationship to RA? (check all that apply),Which of the following best describes your approach to RetroAchievements?,Describe briefly what makes an RA set well-designed,"What one set on RA best illustrates what you would consider ""perfect"" set design?",Explain what makes the linked RA set a good example of perfect set design.,How do you feel about the following types of achievements? [Standard Progression & Milestones],"How do you feel about the following types of achievements? [Completion (100%, collectables, all stages/missions)]","How do you feel about the following types of achievements? [Grinding / Hyper-Completion (reach level 99, collect every drop, reach 1000 kills with every weapon, etc)]",How do you feel about the following types of achievements? [Damageless Boss Challenges],How do you feel about the following types of achievements? [Deathless Boss Challenges],"How do you feel about the following types of achievements? [Other Boss Challenges (weapon restrictions, party restrictions, etc)]","How do you feel about the following types of achievements? [Level Challenges (no powerups, don't press left, no jumping, etc)]","How do you feel about the following types of achievements? [Easter Eggs (highlighting one-off points of interest in a game, intended by the game developers)]","How do you feel about the following types of achievements? [Developer-Created Challenges (highlighting one-off points of interest in a game, NOT intended by the game developers)]",How do you feel about the following types of achievements? [Score Challenges],How do you feel about the following types of achievements? [Speedrun Challenges],"Are there any other types of achievement types that you enjoy that were not mentioned in the previous question? If so, please describe them here.",How do you prefer progression milestones to be broken down?,What additional content do you expect out of an RA set beyond simple game completion?,How willing are you to play a game multiple times for the purpose of mastering a set?,Which of the following applies to your experiences playing RA sets? [I have skipped achievements for being too difficult],Which of the following applies to your experiences playing RA sets? [I have skipped achievements for being a type of achievement I don't like],Which of the following applies to your experiences playing RA sets? [I have not played *an entire set* because it contained a small number of achievements I didn't want to complete],"Which of the following applies to your experiences playing RA sets? [I feel the need to master every set that I play, even if I don't care for some of the achievements]",Which of the following applies to your experiences playing RA sets? [I mostly play games of a specific series or genre]
"I am a player, I am a Developer (or Jr Dev, or former Dev), I volunteer (or have previously volunteered) on one of the various RA teams","I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Comprehensive coverage of game content, achievements are organized in a way that if there are missables, they're near where I'd logically look for them in the list (not at the bottom)",https://retroachievements.org/game/1448,"Not too easy, not too hard, just right",Love,Love,Neutral,Dislike,Neutral,Neutral,Dislike,Like,Neutral,Love,Hate/Avoid,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game",2,Neutral,Agree,Strongly Agree,Neutral,Neutral
"I am a player, I am a Developer (or Jr Dev, or former Dev)","I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","It includes most, if not all aspects of the game. ",https://retroachievements.org/game/6981,It includes nearly everything the game has to offer,Neutral,Love,Love,Like,Like,Like,Like,Neutral,Like,Neutral,Neutral,No,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc)",5,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree
"I am a player, I am a Developer (or Jr Dev, or former Dev)","I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","I believe there needs to be a good balance of main progression, side challenges, and finding secrets / extras. Sure, challenges can be difficult but they provide you a chance to get better at the game and makes the mastery that much more worth it.",https://retroachievements.org/game/6049,It covers everything from the base game and provides a plethora of challenges and optional content.,Love,Love,Neutral,Like,Like,Like,Love,Love,Love,Neutral,Dislike,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",3,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree
"I am a player, I volunteer (or have previously volunteered) on one of the various RA teams","I don't pay much attention to RA, and I don't change my playstyle with regards to the RA achievement set. I earn whatever achievements I earn","open-minded, not near WR times, not spammed with deathless/ damageless cheevos, more incentives for beats. ",https://retroachievements.org/game/10839,you 100% the game without making it impossible for an average gamer to do.,Love,Love,Neutral,Hate/Avoid,Hate/Avoid,Neutral,Like,Love,Like,Dislike,Hate/Avoid,cheevos for multi sets.,"I like one achievement per stage, even when there might be a lot of stages","100%, as defined by the game",3,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree
"I am a Developer (or Jr Dev, or former Dev)","I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","Variety, covers content, nothing is BS unfair or BS unfun. Challenges that aren't phoned in",https://retroachievements.org/game/9190,It does what I said above,Love,Love,Neutral,Neutral,Neutral,Like,Like,Love,Love,Neutral,Like,Oddball challenges,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",2,Disagree,Disagree,Agree,Agree,Neutral
"I am a player, I am a Developer (or Jr Dev, or former Dev), I volunteer (or have previously volunteered) on one of the various RA teams","I don't pay much attention to RA, and I don't change my playstyle with regards to the RA achievement set. I earn whatever achievements I earn","A fair balance of progression and challenge cheevos. Nothing wrong with easy games or easter eggs, but nothing super impossible either.",https://retroachievements.org/game/9190,"Good progression, unique challenges, makes you explore a lot of what the game has to offer.",Like,Like,Neutral,Neutral,Neutral,Like,Neutral,Like,Like,Neutral,Neutral,N/A,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",3,Agree,Neutral,Neutral,Strongly Disagree,Agree
"I am a player, I am a Developer (or Jr Dev, or former Dev)","I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","It should guide the player through not only every part of the game as intended by the developer, but add supplementary challenges that push the player forward into becoming more skilled in a game. If the game has a significant community then challenges or notable bits from that should be included too",https://retroachievements.org/game/10003,"As mentioned above, it covers every single possible part of Super Mario 64, and then adds bonus achievements for completing various difficult but satisfying challenges and for finding more obscure things within the levels. It encourages every part of the original game's design and gives the player a fair challenge for mastery.",Like,Love,Like,Dislike,Like,Love,Love,Like,Love,Like,Dislike,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",3,Agree,Disagree,Agree,Disagree,Strongly Disagree
"I am a player, I am a Developer (or Jr Dev, or former Dev)","I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","creative challenges, not too difficult, tries to see every aspect of game",https://retroachievements.org/game/25434,"good progression, not too difficult, 100%ing the game but not overly grindy ""100%"", sees all aspects of game, good spread on achievements throughout the game",Love,Like,Love,Neutral,Neutral,Like,Neutral,Like,Like,Like,Like,I don't really like missables but sometimes they can be fun,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc)",5,Strongly Agree,Strongly Agree,Disagree,Agree,Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","I think that a good RA set (at least Core) should supplement the game experience and serve as a way to show players the full contents of a game without being overbearing or adding too many needless challenges or objectives, akin to how modern titles handle their built-in achievements.",https://retroachievements.org/game/1471,"I think Dragon Quest I is perfect set design as it requires the player to experience the entire game and all of its endings, while making it clear where external support should be used like where to save before locking into an ending, as well as having miscellaenous achievements for acts like defeating specific enemies or collecting hidden items which are not too difficult and require little straying from the intended path.",Love,Love,Dislike,Hate/Avoid,Hate/Avoid,Dislike,Neutral,Love,Like,Neutral,Dislike,,I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",2,Strongly Agree,Agree,Disagree,Disagree,Neutral
"I am a Developer (or Jr Dev, or former Dev)","I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","progression fun challenges, no beat entire stage without using any powers/damage/blinking/or thinking about pudding. that stuff needs to be in bonus, looking at you mega man X sets!",https://retroachievements.org/game/3528,original unique challenges using the scope of in game mechanics,Love,Love,Like,Dislike,Like,Neutral,Hate/Avoid,Love,Like,Dislike,Hate/Avoid,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc)",2,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree
